0	F	?	1
0	E0	?	0
0	E1	?	1
0	E2	?	1
0	R1,2	?	0
0	T1,2	?	2
0	W1,2	?	0
0	C1,2	?	1
1	X1	?	0
1	Y1	?	0
1	S1	?	0
1	M1	?	0
6	F	1	2
6	X2	?	0
6	Y2	?	0
6	S2	?	0
6	M2	?	0
86	R1,2	0	1
92	R1,2	1	0
102	R1,2	0	-1
103	R1,2	-1	0
106	R1,2	0	1
107	F	2	1
107	R1,2	1	0
116	X1	0	-1
116	M1	0	1
116	R1,2	0	-1
118	X1	-1	0
118	M1	1	0
118	R1,2	-1	0
129	X1	0	1
129	M1	0	1
129	R1,2	0	1
130	F	1	2
130	R1,2	1	0
132	F	2	1
132	R1,2	0	1
133	F	1	2
133	R1,2	1	0
146	F	2	1
146	X1	1	0
146	M1	1	0
147	F	1	2
147	C1,2	1	0
190	F	2	1
190	X1	0	1
190	M1	0	1
190	R1,2	0	1
191	F	1	2
191	R1,2	1	0
194	F	2	1
194	R1,2	0	1
195	F	1	2
195	R1,2	1	0
200	F	2	1
200	R1,2	0	1
202	X1	1	0
202	M1	1	0
202	R1,2	1	0
203	X1	0	1
203	M1	0	1
203	R1,2	0	1
204	X1	1	-1
204	R1,2	1	0
205	R1,2	0	-1
206	F	1	2
206	R1,2	-1	0
213	F	2	1
213	R1,2	0	-1
214	F	1	2
214	R1,2	-1	0
217	F	2	1
217	R1,2	0	-1
218	F	1	2
218	R1,2	-1	0
228	F	2	1
228	X1	-1	0
228	M1	1	0
237	X1	0	1
237	M1	0	1
237	R1,2	0	1
238	X1	1	0
238	M1	1	0
238	R1,2	1	0
265	X1	0	1
265	M1	0	1
265	R1,2	0	1
266	X1	1	0
266	M1	1	0
266	R1,2	1	0
297	X1	0	1
297	M1	0	1
297	R1,2	0	1
298	X1	1	0
298	M1	1	0
298	R1,2	1	0
