0	F	?	0
0	E0	?	1
0	E1	?	0
0	E2	?	0
1	X0	?	0
1	Y0	?	0
1	S0	?	0
1	M0	?	0
102	E1	0	1
102	R0,1	?	1
102	T0,1	?	0
102	W0,1	?	0
102	C0,1	?	0
103	F	0	1
103	R0,1	1	0
104	X1	?	0
104	Y1	?	-1
104	S1	?	1
104	M1	?	1
105	R0,1	0	-1
106	X1	0	-1
108	Y1	-1	0
108	S1	1	0
110	C0,1	0	1
111	Y1	0	1
111	W0,1	0	1
113	C0,1	1	0
115	W0,1	1	0
116	Y1	1	0
116	C0,1	0	1
117	R0,1	-1	0
117	C0,1	1	0
118	X1	-1	0
118	M1	1	0
118	C0,1	0	1
122	Y1	0	-1
122	M1	0	1
122	W0,1	0	1
124	Y1	-1	0
124	M1	1	0
124	R0,1	0	1
125	Y1	0	-1
125	M1	0	1
125	W0,1	1	0
125	C0,1	1	0
126	Y1	-1	0
126	M1	1	0
127	F	1	0
127	R0,1	1	0
129	R0,1	0	1
133	F	0	1
133	R0,1	1	0
136	R0,1	0	1
142	F	1	0
142	R0,1	1	0
