0	F	?	-1
0	E0	?	0
0	E1	?	0
0	E2	?	0
63	F	-1	2
63	E2	0	1
64	X2	?	0
64	Y2	?	0
64	S2	?	0
64	M2	?	0
82	E0	0	1
82	R0,2	?	0
82	T0,2	?	2
82	W0,2	?	0
82	C0,2	?	1
86	F	2	0
86	X0	?	0
86	Y0	?	0
86	S0	?	0
86	M0	?	0
149	R0,2	0	-1
150	R0,2	-1	0
155	Y0	0	1
155	M0	0	1
155	W0,2	0	1
156	Y0	1	0
156	M0	1	0
156	W0,2	1	0
157	Y0	0	1
157	M0	0	1
157	W0,2	0	1
158	Y0	1	0
158	M0	1	0
158	R0,2	0	-1
159	R0,2	-1	0
159	T0,2	2	3
160	Y0	0	1
160	M0	0	1
160	T0,2	3	2
160	W0,2	1	0
161	Y0	1	0
161	M0	1	0
161	T0,2	2	3
161	W0,2	0	1
162	Y0	0	1
162	M0	0	1
162	T0,2	3	2
162	W0,2	1	0
163	Y0	1	0
163	M0	1	0
163	T0,2	2	3
163	W0,2	0	1
164	F	0	2
164	W0,2	1	0
170	F	2	0
170	R0,2	0	1
170	T0,2	3	2
170	W0,2	0	1
171	F	0	2
171	R0,2	1	0
171	W0,2	1	0
172	F	2	0
172	T0,2	2	3
176	R0,2	0	-1
176	W0,2	0	1
177	Y0	0	-1
177	M0	0	1
178	T0,2	3	0
180	Y0	-1	0
180	M0	1	0
181	R0,2	-1	0
181	W0,2	1	0
182	R0,2	0	1
189	F	0	2
189	R0,2	1	0
270	F	2	0
270	W0,2	0	1
271	F	0	2
271	W0,2	1	0
290	F	2	0
290	W0,2	0	1
291	F	0	2
291	W0,2	1	0
